2016-02-09 20:57:23.702761; CX7---3
2016-02-09 20:57:24.231819; CX7---1
2016-02-09 20:57:24.640309; CX7---1
2016-02-09 20:57:25.159466; CX7---0
2016-02-09 20:58:12.897158; CX7---1
2016-02-09 20:58:13.449063; CX7---1
2016-02-09 20:58:14.048640; CX7---2
2016-02-09 20:58:14.630193; CX7---3
2016-02-09 20:58:15.367038; CX7---1
2016-02-09 20:58:15.886562; CX7---1
2016-02-10 21:50:49.522935; K3X8--1
2016-02-10 21:50:55.635498; K3X8--3
2016-02-10 21:54:54.555090; K3X8--1
2016-02-10 21:55:03.085262; K3X8--0
2016-02-10 21:56:30.902630; K3X8--1
2016-02-10 21:57:24.141971; K3X8--0
2016-02-10 21:57:53.971333; K3X8--1
2016-02-10 21:58:42.593233; K3X8--0
2016-02-10 22:03:03.224247; K3X8--0
2016-02-10 22:06:30.525334; K3X8--2
2016-02-10 22:11:26.439196; K3X8--4
2016-02-10 22:12:40.345913; K3X8--3
2016-02-10 22:14:32.549447; K3X8--2
2016-02-10 22:15:02.759159; K3X8--2
2016-02-10 22:44:16.127788; K3X8--3
2016-02-10 22:44:21.652294; K3X8--5
2016-02-10 22:59:09.082676; K3X8--1
2016-02-10 23:00:27.389466; K3X8--5
2016-02-10 23:01:23.961016; K3X8--1
2016-02-10 23:11:09.477935; K3X8--5
2016-02-10 23:13:44.973419; K3X8--4
2016-02-10 23:15:05.685895; K3X8--3
2016-02-10 23:16:26.407561; K3X8--2
2016-02-10 23:17:12.381994; K3X8--1
2016-02-10 23:18:08.955868; K3X8--3
2016-02-10 23:19:05.509233; K3X8--4
2016-02-10 23:23:13.919993; K3X8--5
2016-02-10 23:23:58.036783; K3X8--3
2016-02-10 23:26:04.870737; K3X8--4
2016-02-10 23:26:35.753671; CX7---1
2016-02-10 23:26:43.653945; CX7---7
2016-02-10 23:26:48.441957; CX7---6
2016-02-10 23:26:53.793589; K3X8--0
2016-02-10 23:27:59.892888; K3X8--2
2016-02-10 23:28:03.257973; CX7---2
2016-02-10 23:29:32.923197; K3X8--0
2016-02-10 23:29:41.196990; CX7---8
2016-02-10 23:40:33.559966; K3X8--1
2016-02-10 23:40:40.703837; CX7---7
2016-02-11 23:00:57.720107; CX7---3
2016-02-11 23:01:09.002271; CX7---2
2016-02-11 23:01:14.089769; CX7---5
2016-02-11 23:05:00.566070; CX7---2
2016-02-11 23:12:57.433161; CX7---3
2016-02-11 23:26:55.049855; CX7---0
2016-02-11 23:27:02.279845; CX7---1
2016-02-11 23:31:16.998383; CX7---4
2016-02-12 21:06:18.704084; CX7---1
2016-02-12 21:06:25.224322; CX7---2
2016-02-12 21:11:15.279658; CX7---0
2016-02-12 21:11:17.970857; CX7---3
2016-02-12 21:11:22.224600; CX7---8
2016-02-12 21:22:10.242895; CX7---0
2016-02-12 21:22:12.729192; CX7---4
2016-02-12 21:22:15.089061; CX7---5
2016-02-12 21:22:17.239129; CX7---3
2016-02-12 21:22:19.830819; CX7---2
2016-02-12 21:22:21.850785; CX7---1
2016-02-12 21:22:24.370934; CX7---5
2016-02-12 21:24:19.817805; CX7---2
2016-02-12 21:24:21.448937; CX7---7
2016-02-12 21:24:23.209437; CX7---7
2016-02-12 21:24:24.653440; CX7---6
2016-02-12 21:24:27.053062; CX7---5
2016-02-12 21:24:29.698961; CX7---8
2016-02-12 21:48:36.661470; K2X8--3
2016-02-12 21:48:40.933810; K2X8--4
2016-02-12 22:06:51.851647; K2X8--4
2016-02-12 22:06:58.537242; K2X8--6
2016-02-12 22:13:24.663750; K2X8--4
2016-02-12 22:13:51.965678; K2X8--6
2016-03-03 06:12:31.652650; K3X8--1
2016-03-03 06:59:37.869538; K3X8--2
